Cluster,Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d,Weight,Bundle,Bundle_Rank
12,MSFT,0.7234,0.7491,0.5809,True,-0.2,27.37,-54.2922,0.1,Bundle_1,1
3,AEP,0.72,0.756,0.565,True,0.6,-0.21,-16.4246,0.1,Bundle_1,1
26,EXR,0.7126,0.7482,0.558,True,0.2,30.62,-1.9294,0.1,Bundle_1,1
23,ROP,0.7118,0.7324,0.5756,True,-0.3,38.36,-40.5348,0.1,Bundle_1,1
18,CI,0.7098,0.7317,0.572,True,0.6,61.82,38.3332,0.1,Bundle_1,1
24,HSY,0.7079,0.7397,0.5578,True,-0.1,-25.6,7.2678,0.1,Bundle_1,1
1,SPGI,0.7007,0.7135,0.5739,True,1.1,81.68,-98.7043,0.1,Bundle_1,1
17,ECL,0.6979,0.7191,0.5609,True,-0.4,-10.64,-98.7842,0.1,Bundle_1,1
22,BALL,0.6943,0.68,0.6007,True,0.4,33.25,-64.0438,0.1,Bundle_1,1
8,LNT,0.6937,0.7055,0.5682,True,1.7,38.29,0.6338,0.1,Bundle_1,1
7,VRSN,0.691,0.7145,0.5513,True,0.0,44.43,6.0294,0.1,Bundle_2,2
9,ROL,0.6909,0.6987,0.5703,True,-0.1,59.57,-54.7439,0.1,Bundle_2,2
11,UNP,0.6908,0.7058,0.5614,True,0.0,39.39,28.8881,0.1,Bundle_2,2
4,BG,0.6897,0.6671,0.6062,True,0.4,65.56,-38.6405,0.1,Bundle_2,2
21,MCD,0.6882,0.7091,0.5514,True,-0.6,-9.47,-72.3586,0.1,Bundle_2,2
15,CTRA,0.6873,0.6809,0.584,True,1.2,125.45,47.9364,0.1,Bundle_2,2
0,KMB,0.6864,0.6809,0.582,True,1.2,20.61,-82.0336,0.1,Bundle_2,2
5,UDR,0.6854,0.6936,0.5643,True,0.5,78.5,-46.3947,0.1,Bundle_2,2
28,YUM,0.6814,0.697,0.5512,True,0.0,45.44,-64.9683,0.1,Bundle_2,2
10,STZ,0.6804,0.6596,0.5947,True,0.3,24.09,-12.391,0.1,Bundle_2,2
13,ADM,0.6756,0.6596,0.584,True,1.1,-27.47,11.9967,0.1,Bundle_3,3
14,ROST,0.6754,0.6855,0.5519,True,1.1,104.11,1.4314,0.1,Bundle_3,3
29,TXT,0.6748,0.6701,0.5694,True,-0.6,51.97,11.4326,0.1,Bundle_3,3
2,OXY,0.6729,0.6583,0.5795,True,-0.2,-14.21,-33.8017,0.1,Bundle_3,3
25,XYL,0.6662,0.6562,0.5674,True,0.2,26.82,-42.7106,0.1,Bundle_3,3
27,MPC,0.6624,0.627,0.5945,True,0.2,69.67,-18.8487,0.1,Bundle_3,3
6,EPAM,0.6614,0.6373,0.5797,True,0.2,324.56,243.2218,0.1,Bundle_3,3
20,PPG,0.6586,0.6554,0.5514,True,-0.3,-20.28,-49.8782,0.1,Bundle_3,3
19,A,0.6533,0.6428,0.555,True,-0.1,44.8,40.6874,0.1,Bundle_3,3
16,CLX,0.6532,0.6349,0.5645,True,0.3,39.53,-82.6916,0.1,Bundle_3,3
